Value Date,Details,Debit,Credit,Balance
25/05/2026,SALARY PAYMENT - VOYATEK GROUP,,450000,450000
01/05/2026,TRANSFER TO LANDLORD PROPERTY MANAGEMENT,120000,,330000
04/05/2026,DSTV MONTHLY SUBSCRIPTION AUTO-DEBIT,24800,,305200
05/05/2026,ATM WITHDRAWAL IKEJA BRANCH,20000,,285200
06/05/2026,UBER TRIP PAYMENT,3200,,282000
07/05/2026,SHOPRITE SURULERE PURCHASE,18500,,263500
08/05/2026,MTN AIRTIME AND DATA SUBSCRIPTION,8000,,255500
10/05/2026,SPECTRANET INTERNET SUBSCRIPTION,12000,,243500
10/05/2026,CHICKEN REPUBLIC MARYLAND,4500,,239000
12/05/2026,TOTAL PETROL STATION ABULE-EGBA,25000,,214000
15/05/2026,RENMONEY LOAN REPAYMENT,45000,,169000
15/05/2026,CHATGPT PLUS SUBSCRIPTION,6500,,162500
18/05/2026,ATM WITHDRAWAL MARYLAND,15000,,147500
20/05/2026,PIGGYVEST SAVINGS TRANSFER,20000,,127500
20/05/2026,CANVA PRO MONTHLY SUBSCRIPTION,3500,,124000
21/05/2026,SHOPRITE SURULERE PURCHASE,16800,,107200
23/05/2026,POS PURCHASE BALOGUN MARKET,8200,,99000
03/05/2026,EKEDC ELECTRICITY TOKEN PAYMENT,15000,,84000
01/05/2026,NETFLIX SUBSCRIPTION USD CHARGE,7500,,76500
01/05/2026,SPOTIFY PREMIUM MONTHLY,2300,,74200
01/05/2026,SHOWMAX MONTHLY SUBSCRIPTION,4200,,70000
